-----------------------Predictions-----------------------
Level 1,Level 2,Level 3,Level 4
Retrotransposon,LTR,Bel-Pao

Retrotransposon,LTR,Bel-Pao

Retrotransposon,LTR,Copia

Retrotransposon,LTR,Copia

DNA transposon,SubclassI

Retrotransposon,LTR,Copia

Retrotransposon,LTR,Bel-Pao

Retrotransposon,LTR,Bel-Pao

Retrotransposon,LTR,Copia

Retrotransposon,LTR,gypsy

Retrotransposon,LTR,Bel-Pao

DNA transposon,SubclassI

Retrotransposon,LINE,R2

DNA transposon,SubclassI,TIRS,PIF-Harbinger

Retrotransposon,LTR,gypsy

DNA transposon,SubclassI,TIRS,CACTA

Retrotransposon,LINE,I

